words;count;idf;tf
abstinentia;1;1;1
abstract;34;34;17
abstracted;2;2;2
abstracting;1;1;0
abstraction;5;5;1
abstracts;13;13;6
abstrat;1;1;1
absurd;5;5;3
abteilung;1;1;1
abu;10;10;2
abubakar;1;1;1
abuelos;1;1;0
abufe;1;1;1
abugida;1;1;1
abugidas;1;1;0
abul;5;5;4
abundance;62;62;25
abundances;19;19;9
abundant;87;87;39
abundantly;4;4;2
abura;1;1;0
aburage;1;1;0
aburi;1;1;0
abuse;10;10;2
abused;3;3;1
abuses;1;1;1
abut;1;1;0
abutting;1;1;0
abyei;1;1;0
abyss;1;1;0
abyssal;2;2;1
abyssi;1;1;0
abyssinian;1;1;0
ac;18;18;5
acacia;3;3;1
acacias;1;1;1
acad;11;11;4
academia;11;11;4
academic;128;128;50
academically;7;7;3
academicians;1;1;0
academics;8;8;3
academie;1;1;0
academiens;1;1;0
academies;18;18;6
academy;131;131;53
acadian;2;2;1
acadians;1;1;1
acaecimientos;1;1;0
acanthaceae;1;1;0
acanthamoeba;1;1;0
acantharea;1;1;0
acantharean;1;1;0
acanthocephala;1;1;1
acanthodians;1;1;0
acantholippia;1;1;0
acanthus;1;1;0
acapulco;1;1;1
acari;1;1;0
acarina;1;1;0
acarines;1;1;0
acarology;2;2;1
acasta;4;4;0
acastan;1;1;0
accademia;4;4;0
accede;2;2;1
acceded;3;3;1
acceding;2;2;1
accedit;1;1;0
accedunt;1;1;1
accelerate;11;11;4
accelerated;31;31;11
accelerates;6;6;2
accelerating;7;7;2
acceleration;17;17;8
accelerations;1;1;0
accelerator;7;7;1
accelerators;4;4;2
accent;19;19;10
accented;4;4;1
accents;10;10;6
accentuated;2;2;1
accentuates;1;1;0
accept;29;29;13
acceptable;19;19;11
acceptance;28;28;15
accepted;122;122;43
accepting;14;14;6
acceptor;5;5;2
acceptors;5;5;2
accepts;7;7;2
access;92;92;30
accessdate;36;36;20
accessed;70;70;30
accessibility;4;4;2
accessible;42;42;19
accessing;4;4;0
accession;8;8;2
accessit;1;1;0
accessories;4;4;1
accessory;13;13;8
accident;9;9;4
accidental;12;12;6
accidentally;4;4;1
accidents;4;4;2
acciones;1;1;0
acclaim;6;6;3
acclaimed;11;11;6
acclamation;1;1;0
acclimated;1;1;0
acclimatized;1;1;0
accomandita;1;1;0
accommodate;14;14;7
accommodated;5;5;3
accommodates;3;3;1
accommodating;3;3;3
accommodation;10;10;6
accommodationists;1;1;0
accommodations;2;2;1
accompanied;48;48;20
accompanies;1;1;0
accompaniment;4;4;1
accompany;14;14;6
accompanying;18;18;8
accomplices;1;1;0
accomplish;5;5;2
accomplished;19;19;6
accomplishing;2;2;0
accomplishment;6;6;2
accomplishments;3;3;2
accord;8;8;4
accordance;27;27;7
accorded;8;8;1
accordign;1;1;0
according;269;269;103
accordingly;4;4;1
accordion;1;1;0
accords;3;3;1
account;121;121;40
accountability;7;7;1
accountable;2;2;0
accountancy;1;1;0
accountants;1;1;0
accounted;31;31;12
accounting;32;32;12
accountlog;601;601;239
accounts;77;77;30
accredit;2;2;1
accreditation;7;7;2
accreditations;1;1;0
accredited;10;10;6
accrediting;3;3;0
accreditors;1;1;0
accrete;1;1;0
accreted;3;3;1
accretes;1;1;0
accreting;2;2;1
accretion;14;14;5
accretionary;3;3;1
accretions;1;1;1
accrual;1;1;0
accrue;1;1;1
accrued;2;2;2
accrues;2;2;1
acculturation;1;1;1
accumulate;43;43;18
accumulated;30;30;13
accumulates;15;15;1
accumulating;10;10;4
accumulation;38;38;18
accumulations;7;7;5
accumulators;1;1;1
accuracies;1;1;0
accuracy;35;35;11
accurate;64;64;26
accurately;47;47;15
accusation;1;1;0
accusations;3;3;3
accusative;8;8;2
accuse;2;2;1
accused;14;14;7
accusing;2;2;0
accustomed;2;2;0
ace;3;3;2
acedrex;1;1;0
acephala;1;1;0
acephate;1;1;0
aceramic;1;1;0
acerca;2;2;0
acessado;1;1;0
acetal;1;1;0
acetate;4;4;2
aceti;1;1;1
acetic;11;11;4
acetivorans;1;1;0
acetobacter;1;1;1
acetone;4;4;2
acetotrophic;1;1;0
acetotrophs;1;1;0
acetyl;4;4;1
acetylation;1;1;1
acetylcholine;2;2;1
acetylene;5;5;2
acetylenic;1;1;0
acetylide;1;1;0
acetylsalicylic;1;1;0
acgc;1;1;0
acgme;1;1;0
ach;1;1;0
achaea;1;1;1
achaean;1;1;1
achaearanea;1;1;1
achaemenid;2;2;1
acharya;2;2;0
achenial;1;1;0
achernar;1;1;1
acheron;1;1;0
aches;1;1;0
acheulian;2;2;1
achievable;4;4;2
achieve;65;65;22
achieved;75;75;27
achievement;11;11;5
achievements;16;16;5
achievents;1;1;0
achieves;4;4;2
achieving;17;17;6
achille;1;1;0
achilleus;1;1;1
achillini;1;1;0
achlorophyllous;2;2;0
achromatic;1;1;0
achterberg;1;1;1
acicular;1;1;1
acid;112;112;38
acidianus;1;1;0
acidic;35;35;17
acidification;4;4;2
acidified;2;2;0
acidifying;1;1;1
acidiphilum;1;1;0
acidithiobacillus;1;1;0
acidities;1;1;0
acidity;13;13;3
acidobacteria;1;1;0
acidophile;1;1;0
acidophiles;1;1;0
acidophilic;3;3;1
acidophilum;1;1;0
acids;65;65;28
acidscarboxylic;1;1;0
acidsfatty;1;1;1
acidsfood;1;1;1
acidshidden;3;3;0
acidspalmitatespalm;1;1;0
acidsphotographic;1;1;0
acidulated;1;1;0
acidum;1;1;0
acinetus;1;1;0
acini;1;1;1
acker;1;1;1
ackerman;2;2;1
acknowledge;4;4;2
acknowledged;27;27;11
acknowledgement;2;2;0
acknowledges;4;4;2
acknowledging;4;4;1
acknowledgments;1;1;1
acm;4;4;1
acme;3;3;1
acne;1;1;1
acnes;1;1;0
aconcagua;5;5;1
acoraceae;1;1;0
acorales;3;3;2
acoreus;1;1;1
acorn;3;3;2
acorus;1;1;0
acoustic;8;8;5
acoustical;4;4;0
acoustically;1;1;1
acoustics;4;4;1
acquainted;1;1;1
acquiesced;1;1;1
acquire;33;33;12
acquired;59;59;28
acquirement;2;2;1
acquires;8;8;3
acquiring;17;17;9
acquisition;31;31;12
acquisitionlanguage;1;1;0
acquisitions;5;5;1
acquisitive;1;1;0
acram;1;1;0
acre;10;10;3
acreage;4;4;1
acreages;1;1;1
acres;14;14;8
acrimonious;1;1;0
acritarchs;2;2;2
acritic;1;1;0
acrobat;1;1;0
acrocomia;1;1;1
acrodactyla;1;1;0
acrolein;1;1;1
acron;1;1;0
acronym;10;10;5
acronyms;3;3;2
acrostic;1;1;0
acrothoracican;1;1;0
acrylate;1;1;0
acrylonitrile;1;1;1
acs;5;5;2
act;162;162;68
acta;35;35;17
acted;21;21;9
actes;1;1;1
acth;2;2;2
actid;1;1;0
actin;8;8;5
acting;50;50;18
actinide;6;6;6
actinides;2;2;1
actinidiaceae;1;1;0
actinium;3;3;2
actinobacteria;3;3;0
actinomorphic;1;1;0
actinomycetes;1;1;0
actinopterygii;1;1;0
actinorhizal;1;1;0
action;121;121;52
actions;42;42;18
actitudes;2;2;0
actium;2;2;2
activate;6;6;2
activated;18;18;11
activates;6;6;2
activating;3;3;1
activation;17;17;8
activator;3;3;0
active;125;125;47
actively;32;32;10
activism;4;4;4
activist;6;6;5
activists;9;9;3
activities;79;79;35
activity;134;134;56
actor;10;10;8
actors;12;12;8
actress;10;10;6
actresses;3;3;3
acts;77;77;24
actual;98;98;34
actuality;2;2;1
actualization;1;1;0
actualized;1;1;1
actually;126;126;51
actuarial;1;1;0
actuators;1;1;0
acu;2;2;1
acuity;1;1;1
aculeus;1;1;0
acuminatum;1;1;0
acupuncture;1;1;1
acus;1;1;0
acute;32;32;13
acw;1;1;0
acyclic;3;3;1
acyl;4;4;1
acylation;1;1;1
acylations;1;1;0
acyltransferase;1;1;1
ad;93;93;37
ada;2;2;1
adaar;1;1;0
adage;1;1;0
adages;1;1;0
adageslatin;1;1;0
adagia;1;1;0
adair;1;1;1
adajian;1;1;0
adal;1;1;0
adalbert;2;2;2
adalberti;1;1;1
adam;36;36;16
adama;1;1;1
adamant;4;4;3
adamczak;1;1;0
adamic;1;1;1
adams;18;18;9
adamses;1;1;1
adamson;1;1;1
adanson;3;3;1
adapt;18;18;4
adaptability;1;1;1
adaptable;2;2;1
adaptation;45;45;19
adaptations;24;24;8
adaptative;1;1;1
adapted;67;67;24
adapters;1;1;1
adapting;6;6;3
adaptive;26;26;9
adaptor;3;3;0
adapts;1;1;1
adarna;1;1;1
adassiyeh;1;1;0
adastra;1;1;1
adaxial;1;1;0
add;72;72;29
added;144;144;52
addelson;1;1;0
addenda;1;1;1
addendum;1;1;0
adders;1;1;0
addi;1;1;0
addiction;2;2;0
adding;207;207;75
addison;5;5;0
addition;185;185;83
additional;260;260;102
additionally;19;19;7
additions;13;13;7
additive;15;15;6
additives;8;8;4
additivesfood;1;1;0
additiveshousehold;1;1;1
additivity;1;1;1
address;42;42;16
addressed;24;24;15
addressees;1;1;1
addresses;11;11;2
addressing;9;9;4
adds;30;30;8
adduce;1;1;0
adducing;1;1;0
adduct;1;1;1
adduction;2;2;0
adductor;1;1;0
adductors;1;1;0
adducts;1;1;1
adefuye;1;1;1
adela;1;1;1
adelaide;5;5;1
adelbert;1;1;0
adelman;1;1;0
adelphi;1;1;1
ademola;1;1;0
aden;1;1;0
adenine;3;3;1
adenines;1;1;0
adenosine;8;8;3
adenovirus;1;1;0
adept;1;1;0
adeptos;1;1;0
adequacy;2;2;1
adequate;31;31;13
adequately;7;7;1
adhemar;1;1;0
adhere;7;7;2
adhered;3;3;1
adherence;10;10;3
adherens;2;2;0
adherents;6;6;4
adheres;8;8;4
adhering;9;9;5
adhesin;1;1;1
adhesins;1;1;1
adhesion;7;7;1
adhesive;9;9;3
adhoore;1;1;1
adi;3;3;0
adia;1;1;0
adiabatic;5;5;3
adipic;1;1;0
adipocyte;2;2;0
adipocytes;3;3;0
adipokines;2;2;0
adiponectin;1;1;0
adipose;15;15;5
adiposity;2;2;1
adirondack;1;1;0
aditya;2;2;0
adjacent;57;57;19
adjara;1;1;0
adjectifs;1;1;1
adjectival;9;9;6
adjectivally;2;2;1
adjectivals;1;1;1
adjective;21;21;12
adjectives;10;10;5
adjoin;1;1;1
adjoining;12;12;4
adjourned;2;2;2
adjoyning;1;1;1
adjudicate;1;1;0
adjudicated;1;1;1
adjudication;2;2;1
adjunct;5;5;2
adjuncts;2;2;1
adjust;5;5;3
adjusted;14;14;5
adjusting;9;9;3
adjustment;11;11;3
adjustments;5;5;2
adjusts;3;3;2
adjuvant;4;4;2
adjuvants;1;1;1
adkins;2;2;1
adkison;1;1;1
adkisson;1;1;1
adkritaye;1;1;0
adl;7;7;3
adler;3;3;0
adlershof;1;1;1
adme;1;1;1
administer;5;5;2
administered;31;31;11
administering;6;6;2
administers;5;5;3
administrate;1;1;1
administratif;1;1;1
administration;71;71;29
administrations;4;4;2
administrative;60;60;20
administratively;3;3;2
administratives;1;1;0
administrator;4;4;1
administratoris;1;1;0
administrators;3;3;0
administred;1;1;0
admirable;1;1;1
admirably;1;1;0
admiral;4;4;2
admiralspalast;1;1;1
admiralty;4;4;0
admiration;3;3;2
admire;2;2;0
admired;7;7;2
admirer;1;1;1
admission;13;13;4
admissions;7;7;4
admit;10;10;5
admits;5;5;4
admitted;9;9;4
admitting;3;3;1
admixed;1;1;1
admixtion;1;1;1
admixture;5;5;1
admixtures;1;1;1
adnate;2;2;1
adnexed;1;1;1
adobe;4;4;2
adol;1;1;0
adolescent;3;3;1
adolescents;3;3;2
adolf;14;14;4
adolfo;1;1;0
adolph;1;1;0
adolphe;6;6;3
adonay;1;1;1
adopt;35;35;15
adopted;120;120;45
adopting;17;17;6
adoption;37;37;11
adoptions;1;1;0
adoptive;3;3;0
adopts;7;7;3
adorable;1;1;1
adoration;1;1;0
adoremus;1;1;0
adoring;2;2;0
adorn;4;4;2
adorned;3;3;0
adornment;1;1;0
adorno;1;1;0
adorns;1;1;1
adp;2;2;1
adpositions;1;1;1
adpression;1;1;0
adrenal;5;5;3
adrenalyn;1;1;0
adressenverlage;1;1;0
adria;2;2;1
adriaan;3;3;0
adrian;18;18;6
adriana;3;3;1
adriance;1;1;1
adrianne;1;1;1
adriano;2;2;0
adrianople;2;2;1
adrianus;1;1;0
adriatic;3;3;0
adrienne;2;2;0
adrift;1;1;1
adroit;1;1;0
ads;2;2;1
adsl;1;1;1
adsorb;1;1;0
adsorbed;2;2;1
adsorbent;1;1;0
adsorbing;1;1;0
adsorption;3;3;1
adsorptive;1;1;1
aduanas;1;1;1
adula;1;1;0
adult;59;59;23
adulta;1;1;0
adulterant;1;1;0
adulterated;1;1;0
adulthood;2;2;1
adults;32;32;11
adv;7;7;2
advaita;1;1;0
advameg;1;1;1
advance;31;31;10
advanced;97;97;35
advancement;33;33;17
advancements;7;7;2
advances;74;74;25
advancing;9;9;2
advantage;62;62;21
advantageous;5;5;1
advantages;21;21;5
advected;1;1;0
advent;44;44;10
adventism;1;1;0
adventist;1;1;1
adventists;1;1;1
adventitia;1;1;0
adventitial;1;1;0
adventitious;7;7;2
adventure;20;20;9
adventurer;1;1;0
adventurers;2;2;1
adventures;10;10;5
adventurist;1;1;1
adventurous;1;1;0
adverb;3;3;2
adverbial;4;4;3
adverbially;1;1;0
adverbs;3;3;2
adversarial;1;1;0
adversaries;4;4;1
adverse;19;19;10
adversely;7;7;3
adversus;1;1;0
advertise;7;7;5
advertised;2;2;2
advertisement;4;4;1
advertisements;4;4;2
advertiser;1;1;0
advertising;14;14;3
advice;15;15;6
advisable;1;1;0
advise;5;5;2
advised;10;10;4
adviser;4;4;2
advisers;3;3;2
advises;4;4;2
advisor;3;3;1
advisory;22;22;11
advocacy;5;5;2
advocate;12;12;5
advocated;15;15;7
advocates;11;11;4
advocating;7;7;4
ae;14;14;6
aebi;2;2;1
aec;2;2;0
aecclesia;1;1;0
aecia;1;1;0
aecidium;1;1;0
aeciospores;1;1;0
aecium;1;1;0
aedui;1;1;0
aegagrus;1;1;0
aegean;8;8;3
aegeanmediterranean;1;1;0
aegeanvolcanoes;1;1;0
aegeum;1;1;0
aegis;1;1;0
aeglina;1;1;0
aegyptischen;1;1;1
aeiro;1;1;0
aelia;1;1;0
aelita;1;1;1
aelius;1;1;1
aelurillus;1;1;1
aemilianus;1;1;1
aemilius;1;1;1
aeneas;1;1;1
aeneid;3;3;2
aeolian;10;10;5
aeolic;2;2;2
aeon;2;2;1
aeoronautics;1;1;1
aera;2;2;0
aerae;3;3;0
aeram;1;1;0
aerate;1;1;0
aerated;2;2;1
aerates;2;2;1
aerating;2;2;0
aeration;6;6;0
aerator;1;1;0
aerial;20;20;4
aerien;1;1;0
aero;5;5;2
aerobes;1;1;1
aerobic;19;19;5
aerobically;2;2;1
aerobot;1;1;1
aerobraking;2;2;1
aerodrome;1;1;0
aerodynamic;1;1;1
aerolloyd;1;1;1
aerology;1;1;1
aeromedical;1;1;1
aeronautical;7;7;3
aeronautics;15;15;5
aeronomy;3;3;2
aeroplane;1;1;1
aeroporto;1;1;0
aeropyrum;1;1;0
aeros;1;1;0
aerosmith;1;1;0
aerosol;8;8;6
aerosols;4;4;2
aerospace;16;16;8
aerospaces;1;1;1
aerospaziale;1;1;1
aerostats;1;1;1
aerssen;1;1;0
aeruginosa;3;3;2
aes;1;1;0
aeschliman;1;1;0
aeschlimannii;2;2;2
aeschylus;1;1;1
aesculus;1;1;0
aesthetic;18;18;7
aesthetically;3;3;1
aesthetics;11;11;3
aestivate;1;1;0
aestivum;1;1;0
aeta;1;1;1
aether;4;4;1
aetiology;1;1;1
aetius;1;1;0
aevi;1;1;0
aevum;1;1;1
aexis;1;1;1
af;10;10;4
afar;2;2;1
afer;1;1;1
aff;1;1;1
affair;3;3;2
affaires;1;1;0
affairs;43;43;16
affect;101;101;42
affected;97;97;42
affecting;36;36;14
affection;2;2;1
affectionate;2;2;2
affections;1;1;0
affective;3;3;1
affects;38;38;12
affectuum;1;1;1
afferent;2;2;0
affiliate;1;1;0
affiliated;12;12;5
affiliation;12;12;7
affiliations;3;3;2
affine;2;2;0
affinerie;1;1;0
affinities;6;6;2
affinity;19;19;11
affirm;1;1;0
affirmative;5;5;3
affirmed;5;5;1
affirming;1;1;0
affirms;5;5;2
affix;4;4;2
affixed;8;8;2
affixes;4;4;3
affixing;1;1;0
afflicted;4;4;3
affluence;4;4;1
affluent;8;8;3
afford;14;14;6
affordability;1;1;0
affordable;4;4;0
afforded;3;3;2
affords;7;7;5
affricate;2;2;1
affricates;1;1;0
affront;1;1;1
affronts;1;1;1
afghan;5;5;3
afghanistan;10;10;2
afghans;2;2;2
afi;1;1;0
aficionados;2;2;2
afield;2;2;0
afif;1;1;0
afiya;1;1;0
afl;1;1;1
aflatoxins;1;1;0
aflatunense;1;1;0
afm;1;1;0
afonsine;1;1;1
afonso;1;1;0
afore;1;1;1
aforementioned;8;8;2
aforesaid;1;1;1
afraid;4;4;2
afrarchaea;1;1;1
africa;71;71;26
africaflora;2;2;0
africahidden;1;1;0
africaines;1;1;1
african;98;98;35
africana;2;2;1
africanisms;1;1;0
africanos;1;1;1
africans;3;3;0
africanus;4;4;1
africaregions;1;1;0
africatrue;1;1;0
afrihili;1;1;0
afrikaans;4;4;1
afrikaner;1;1;1
afroasiatic;1;1;1
afropollis;1;1;0
afroz;1;1;1
afsana;1;1;1
afsharid;1;1;0
afsluitdijk;1;1;0
aft;4;4;3
afterlife;1;1;0
aftermath;12;12;6
aftermaths;1;1;0
afternoon;9;9;6
afterward;2;2;1
afterword;2;2;2
afvs;1;1;1
ag;14;14;5
aga;3;3;1
agamemnon;1;1;1
agan;1;1;0
agapanthaceae;3;3;2
agapantheae;2;2;1
agapanthoideae;1;1;0
agapanthus;1;1;0
agar;4;4;1
agaric;3;3;1
agaricales;4;4;2
agaricoid;1;1;0
agaricomycetidae;1;1;0
agaricomycotina;1;1;0
agarics;5;5;3
agaricus;6;6;3
agarwala;1;1;0
agassiz;3;3;0
agastya;1;1;0
agata;1;1;0
agatha;2;2;2
agathadaemon;1;1;0
agavaceae;2;2;2
agave;2;2;1
agaveae;2;2;1
agaves;1;1;0
agavoideae;1;1;1
agb;4;4;2
age;192;192;76
aged;18;18;7
ageing;5;5;2
agelas;1;1;1
agelena;1;1;1
agena;1;1;1
agence;6;6;2
agencies;24;24;8
agencieshidden;1;1;0
agenciesindependent;1;1;0
agency;51;51;20
agenda;9;9;2
agendas;2;2;1
ageng;1;1;0
agent;42;42;18
agentive;3;3;2
agents;40;40;19
agentsexperimental;1;1;0
agentshidden;4;4;3
agentsoxygenhidden;1;1;0
agerer;1;1;0
ages;88;88;27
ageshidden;1;1;0
agf;1;1;1
aggarwal;6;6;2
aggie;2;2;2
aggies;1;1;0
agglomeration;4;4;2
agglomerations;3;3;0
agglutinate;1;1;1
agglutinated;1;1;1
agglutination;1;1;1
agglutinative;2;2;2
aggrandize;1;1;1
aggravate;1;1;0
aggravated;3;3;2
aggravating;2;2;2
aggregate;18;18;8
aggregated;5;5;2
aggregates;7;7;1
aggregating;1;1;1
aggregation;8;8;4
aggregations;2;2;0
aggression;6;6;3
aggressive;5;5;2
aggressively;5;5;1
agha;3;3;3
agile;1;1;0
agilulf;1;1;0
agincourt;1;1;0
aging;10;10;3
agitate;2;2;0
agitated;1;1;1
agitation;2;2;1
aglaophyton;1;1;0
agle;1;1;1
agm;1;1;0
agnathan;2;2;1
agnaths;1;1;0
agnatic;1;1;1
agnelli;1;1;1
agnellus;1;1;0
agnes;4;4;2
agnew;1;1;0
agnieszka;1;1;1
agnivesh;1;1;0
agnolo;1;1;0
agnomen;1;1;1
agnostic;1;1;1
agnostics;3;3;0
agnus;1;1;1
ago;71;71;22
agochs;1;1;1
agonist;3;3;0
agonists;1;1;0
agony;1;1;0
agoraphobic;1;1;1
agostino;1;1;0
agote;1;1;0
agoudas;1;1;0
agra;3;3;0
agrarian;10;10;5
agrawal;1;1;0
agreeable;1;1;1
agreed;45;45;22
agreeing;4;4;0
agreement;50;50;21
agreements;15;15;5
agrees;14;14;4
agri;1;1;1
agribusiness;2;2;1
agribusinesses;1;1;1
agric;1;1;1
agricola;2;2;1
agricultura;3;3;1
agricultural;98;98;26
agriculturalist;2;2;0
agriculturalists;1;1;0
agriculturally;4;4;1
agriculture;87;87;30
agriculturehidden;1;1;0
agriculturist;1;1;0
agrilife;1;1;1
agrio;1;1;0
agrippa;3;3;1
agrippina;1;1;1
agro;1;1;0
agroalimentaires;1;1;0
agrobacterium;1;1;0
agrochemistry;1;1;1
agroecology;1;1;0
agroecosystems;1;1;0
agronomist;1;1;0
agronomists;1;1;0
agronomy;7;7;2
agronomybiological;1;1;1
agrophysics;1;1;1
aground;1;1;0
agu;1;1;0
agua;1;1;1
ague;1;1;1
aguiar;1;1;0
aguinaldo;1;1;1
aguirre;1;1;0
agur;2;2;0
agus;2;2;1
agustin;1;1;1
aguzza;1;1;0
agyati;1;1;0
agyeman;1;1;1
ah;12;12;5
ahadith;1;1;0
ahd;1;1;1
ahead;30;30;9
ahel;1;1;0
ahistorical;1;1;1
ahmad;9;9;5
ahmadi;1;1;0
ahmadis;2;2;1
ahmadiyya;3;3;1
ahmadiyyah;1;1;1
ahmadjian;1;1;1
ahmadu;1;1;1
ahmanson;1;1;1
ahmed;13;13;9
"ahmedabad
";1;1;0
ahmet;1;1;0
ahmose;1;1;0
ahora;1;1;0
ahrens;2;2;1
ahs;1;1;1
ahsan;1;1;1
ahuatzi;1;1;0
ai;15;15;5
aibing;1;1;0
aid;59;59;20
aidan;2;2;0
aidani;1;1;0
aide;1;1;0
aided;29;29;12
aiding;7;7;2
aids;17;17;9
aiec;1;1;1
aiglantin;1;1;0
aiglent;1;1;0
aiguille;2;2;1
aijun;1;1;0
aike;1;1;0
aikhenvald;1;1;1
ailbe;1;1;0
ailean;1;1;0
ailing;2;2;1
ailleart;1;1;0
ailsa;1;1;1
aim;36;36;13
aimed;31;31;13
aimee;1;1;1
aiming;8;8;4
aims;31;31;11
ain;4;4;2
ainhoa;1;1;0
ainley;1;1;1
ainm;1;1;1
aino;1;1;0
ainsa;2;2;1
ainsley;1;1;0
ainsworth;2;2;0
ainu;2;2;1
aip;6;6;3
aipardobs;1;1;0
aipil;1;1;1
air;154;154;59
airbase;2;2;1
airbender;1;1;1
airblue;1;1;1
airborne;17;17;8
airbus;5;5;1
airch;1;1;1
aircraft;30;30;9
aire;1;1;0
aired;5;5;2
aires;11;11;4
"aires
";2;2;1
airfall;1;1;1
airfield;1;1;1
airflow;2;2;1
airfoil;1;1;0
airframe;1;1;0
airglow;1;1;0
airing;3;3;3
airings;1;1;1
airless;1;1;0
airlift;1;1;1
airline;9;9;4
airliners;2;2;0
airlines;15;15;7
airlink;1;1;1
airlock;1;1;1
airlocks;1;1;1
airmail;1;1;1
airplane;5;5;2
airplanes;3;3;0
airport;28;28;12
airports;16;16;5
airs;1;1;0
airsacculitis;1;1;1
airship;4;4;2
airships;2;2;1
airspace;2;2;1
airstream;1;1;1
airtel;1;1;0
airtight;1;1;0
airway;2;2;1
airways;2;2;0
airworthiness;1;1;0
airy;1;1;1
aisen;1;1;0
aisle;1;1;0
